iter	Passed	Remaining
0	44	21492
1	67	16239
2	88	14285
3	112	13549
4	129	12421
5	146	11684
6	162	11123
7	180	10804
8	198	10531
9	217	10344
10	244	10559
11	285	11257
12	313	11412
13	346	11679
14	376	11809
15	403	11865
16	434	11984
17	459	11947
18	482	11871
19	511	11926
20	541	11988
21	565	11927
22	597	12024
23	623	12003
24	640	11807
25	662	11726
26	684	11628
27	704	11525
28	729	11493
29	758	11527
30	789	11584
31	822	11668
32	858	11778
33	891	11851
34	928	11960
35	958	11980
36	991	12028
37	1031	12165
38	1061	12164
39	1092	12182
40	1123	12194
41	1155	12210
42	1176	12124
43	1201	12065
44	1220	11962
45	1242	11880
46	1267	11835
47	1305	11914
48	1351	12056
49	1375	11994
50	1404	11975
51	1426	11904
52	1474	12046
53	1498	11990
54	1521	11922
55	1543	11850
56	1572	11838
57	1591	11744
58	1608	11641
59	1627	11556
60	1645	11465
61	1676	11462
62	1697	11396
63	1716	11316
64	1735	11241
65	1755	11172
66	1776	11108
67	1792	11020
68	1809	10938
69	1828	10865
70	1851	10823
71	1869	10747
72	1891	10700
73	1910	10638
74	1937	10616
75	1961	10581
76	1982	10528
77	1999	10457
78	2018	10398
79	2038	10344
80	2055	10276
81	2071	10206
82	2087	10137
83	2104	10069
84	2120	10004
85	2136	9939
86	2152	9874
87	2169	9811
88	2188	9761
89	2205	9702
90	2222	9648
91	2239	9591
92	2259	9547
93	2284	9525
94	2318	9541
95	2338	9499
96	2361	9469
97	2381	9427
98	2401	9386
99	2419	9338
100	2436	9288
101	2454	9240
102	2474	9203
103	2492	9154
104	2509	9107
105	2527	9059
106	2545	9016
107	2563	8971
108	2580	8924
109	2596	8873
110	2612	8825
111	2629	8780
112	2658	8774
113	2675	8730
114	2692	8685
115	2721	8679
116	2742	8650
117	2767	8629
118	2790	8607
119	2813	8581
120	2836	8557
121	2863	8543
122	2883	8508
123	2904	8480
124	2924	8445
125	2943	8410
126	2962	8372
127	2979	8331
128	2994	8285
129	3015	8257
130	3033	8219
131	3057	8198
132	3077	8168
133	3101	8146
134	3125	8125
135	3149	8106
136	3173	8084
137	3191	8047
138	3209	8012
139	3226	7973
140	3242	7932
141	3258	7893
142	3275	7856
143	3292	7819
144	3308	7780
145	3324	7742
146	3340	7703
147	3360	7673
148	3376	7637
149	3393	7601
150	3415	7577
151	3432	7543
152	3458	7527
153	3476	7494
154	3497	7469
155	3515	7436
156	3532	7402
157	3553	7377
158	3571	7345
159	3591	7317
160	3610	7288
161	3629	7258
162	3649	7231
163	3672	7209
164	3702	7202
165	3726	7182
166	3749	7162
167	3771	7139
168	3790	7110
169	3808	7079
170	3826	7049
171	3844	7018
172	3863	6989
173	3883	6964
174	3902	6935
175	3921	6907
176	3950	6895
177	3969	6868
178	3990	6844
179	4014	6824
180	4034	6798
181	4052	6769
182	4072	6743
183	4098	6727
184	4120	6703
185	4139	6675
186	4156	6646
187	4173	6616
188	4191	6585
189	4208	6557
190	4226	6528
191	4243	6498
192	4262	6470
193	4279	6441
194	4296	6411
195	4315	6385
196	4332	6355
197	4360	6343
198	4383	6322
199	4404	6297
200	4425	6275
201	4442	6245
202	4459	6216
203	4477	6189
204	4496	6163
205	4517	6140
206	4535	6113
207	4555	6088
208	4573	6061
209	4593	6037
210	4613	6012
211	4632	5987
212	4655	5966
213	4676	5943
214	4698	5921
215	4721	5901
216	4741	5877
217	4760	5852
218	4778	5826
219	4797	5800
220	4815	5774
221	4833	5747
222	4859	5730
223	4878	5706
224	4896	5680
225	4915	5654
226	4934	5629
227	4953	5605
228	4971	5579
229	4988	5551
230	5005	5526
231	5023	5499
232	5039	5472
233	5057	5446
234	5079	5425
235	5097	5400
236	5116	5375
237	5136	5351
238	5158	5331
239	5177	5307
240	5195	5281
241	5212	5255
242	5229	5229
243	5249	5206
244	5272	5186
245	5292	5163
246	5312	5140
247	5336	5121
248	5352	5094
249	5369	5068
250	5386	5043
251	5404	5018
252	5422	4993
253	5440	4968
254	5460	4946
255	5477	4921
256	5496	4897
257	5513	4872
258	5529	4846
259	5546	4820
260	5562	4795
261	5583	4773
262	5603	4751
263	5625	4730
264	5645	4708
265	5665	4685
266	5686	4664
267	5720	4653
268	5743	4632
269	5764	4611
270	5782	4587
271	5803	4565
272	5832	4550
273	5856	4531
274	5875	4508
275	5903	4491
276	5924	4470
277	5946	4448
278	5977	4435
279	6003	4416
280	6029	4398
281	6054	4379
282	6071	4355
283	6093	4334
284	6113	4311
285	6139	4293
286	6159	4270
287	6179	4248
288	6203	4228
289	6229	4210
290	6268	4200
291	6298	4184
292	6328	4168
293	6348	4145
294	6389	4136
295	6417	4119
296	6441	4098
297	6464	4078
298	6483	4054
299	6500	4030
300	6518	4006
301	6534	3981
302	6552	3957
303	6568	3932
304	6585	3908
305	6603	3884
306	6621	3860
307	6643	3839
308	6662	3816
309	6682	3794
310	6704	3772
311	6739	3758
312	6761	3737
313	6785	3716
314	6802	3692
315	6818	3668
316	6836	3644
317	6855	3621
318	6882	3603
319	6899	3578
320	6916	3555
321	6933	3531
322	6958	3511
323	6978	3489
324	6998	3466
325	7014	3442
326	7034	3420
327	7052	3397
328	7071	3374
329	7090	3351
330	7106	3327
331	7124	3304
332	7140	3280
333	7158	3257
334	7175	3234
335	7191	3210
336	7207	3186
337	7225	3163
338	7248	3143
339	7282	3127
340	7305	3106
341	7341	3091
342	7358	3067
343	7375	3044
344	7391	3021
345	7409	2998
346	7431	2976
347	7452	2955
348	7469	2932
349	7487	2909
350	7504	2886
351	7520	2862
352	7537	2839
353	7555	2817
