KPIs_met >80%,awards_won?,department,avg_training_score,gender,region,length_of_service,education,age,recruitment_channel,previous_year_rating_bin,no_of_trainings_bin,KMeans_Clusters,is_promoted
1,0,0,56,0,0,2,0,28,0,2,0,0,0
0,0,1,83,0,0,5,0,35,0,2,0,1,0
1,0,2,55,0,1,10,0,36,1,2,0,0,0
0,0,3,73,0,2,7,0,37,2,2,0,1,0
0,0,4,49,1,3,10,1,39,2,2,0,0,0
1,0,1,80,0,4,3,0,25,2,4,0,1,0
0,0,4,49,0,5,7,1,32,0,2,0,0,0
0,0,4,48,0,6,3,0,35,2,2,0,0,0
0,0,5,79,1,7,5,0,33,0,2,0,1,0
0,0,4,48,0,8,5,0,34,2,2,0,0,0
0,0,6,52,0,9,13,1,39,2,2,0,0,0
0,0,4,47,0,9,4,0,32,2,2,0,0,0
0,0,4,51,0,10,15,0,42,0,3,0,0,0
1,0,1,88,0,1,3,0,28,0,4,0,1,1
0,0,5,81,0,11,2,0,31,0,2,1,1,0
0,0,1,82,0,12,10,0,34,2,2,0,1,0
0,0,1,83,0,3,7,0,31,0,2,0,1,0
0,0,3,65,1,13,4,0,33,0,1,0,0,0
0,0,5,78,0,1,9,1,36,0,4,0,1,0
1,0,4,53,0,14,4,0,34,0,1,0,0,0
0,0,7,63,0,0,9,1,40,0,2,0,0,0
0,0,5,80,0,15,2,0,26,0,1,0,1,0
1,0,5,78,0,16,1,0,26,2,0,0,1,0
0,0,0,59,0,0,18,0,60,0,1,0,0,0
0,0,7,59,0,13,9,0,35,2,3,0,0,0
0,0,4,48,0,9,2,0,27,2,3,0,0,0
0,0,2,61,0,2,3,2,26,2,1,0,0,0
0,0,4,49,1,17,6,0,38,0,1,0,0,0
0,0,4,49,0,1,8,0,30,2,2,1,0,0
0,0,3,66,1,3,5,0,34,0,2,1,0,0
1,0,2,63,0,16,5,0,38,2,4,0,0,0
0,0,6,48,0,0,5,0,33,0,3,0,0,0
1,0,4,48,0,11,5,0,43,0,1,0,0,0
0,0,2,55,0,0,4,1,39,0,1,0,0,0
0,0,2,60,0,3,14,1,41,2,1,1,0,0
0,0,4,50,0,18,1,2,23,0,0,1,0,0
0,0,5,82,1,0,7,1,55,1,2,0,1,0
0,0,4,48,0,3,3,1,46,0,4,0,0,0
0,0,4,47,0,3,2,0,24,2,2,1,0,0
0,0,4,46,1,0,17,0,58,0,4,0,0,0
0,0,3,67,1,10,3,0,31,2,2,0,1,0
0,0,4,49,0,15,6,0,29,2,2,0,0,0
0,0,5,82,0,19,2,0,25,0,1,0,1,0
0,0,5,91,0,3,2,3,23,0,2,0,1,1
1,0,3,75,1,3,5,0,33,2,4,0,1,0
0,0,2,65,1,20,8,0,32,0,3,0,0,0
0,0,0,61,1,0,3,0,27,0,3,0,0,0
0,0,1,85,0,0,2,2,25,2,3,2,1,0
1,0,5,88,0,13,1,0,23,2,0,0,1,1
0,0,8,83,0,21,1,0,30,2,0,0,1,0
0,0,4,51,0,13,9,0,36,0,4,0,0,0
0,0,4,52,0,16,4,0,28,2,1,0,0,0
0,0,4,50,0,22,3,0,31,0,2,1,0,0
1,0,0,56,1,13,2,0,29,2,4,0,0,1
0,0,3,71,0,6,7,0,36,0,1,0,1,0
0,0,4,48,0,0,11,0,60,0,1,0,0,0
1,0,5,77,0,1,7,1,45,2,2,0,1,0
0,0,5,79,0,1,3,0,27,0,2,1,1,0
1,0,8,88,1,0,7,0,39,2,4,0,1,0
0,0,2,58,1,2,2,0,34,0,4,0,0,0
0,0,2,63,0,2,2,0,24,0,4,0,0,0
1,0,2,56,0,3,3,0,30,0,3,1,0,0
0,0,5,74,0,23,3,1,54,0,1,0,1,0
1,0,3,66,0,3,3,0,33,2,2,0,0,1
0,0,4,46,0,16,2,1,32,0,1,1,0,0
0,0,5,75,0,10,2,0,28,2,2,1,1,0
1,0,1,79,0,4,7,1,28,2,2,0,1,0
0,0,4,51,0,8,1,2,24,0,0,0,0,0
1,0,4,43,0,17,7,0,40,2,4,0,0,0
0,0,4,51,0,7,13,0,44,2,4,0,0,0
0,0,4,45,1,0,5,0,31,0,1,1,0,0
1,0,5,80,0,24,1,0,27,2,0,0,1,1
0,0,4,67,0,3,3,0,34,0,2,0,1,1
0,0,1,87,0,15,3,0,44,2,2,0,1,0
0,0,4,52,0,13,15,0,59,2,1,0,0,0
1,0,6,44,0,17,5,1,31,0,4,0,0,0
1,0,3,72,0,22,7,1,36,0,3,0,1,0
0,0,0,59,1,4,9,1,34,2,1,0,0,0
1,0,3,72,0,16,5,1,34,2,4,0,1,0
0,0,4,52,0,13,2,1,49,2,2,0,0,0
1,0,2,54,1,0,1,3,23,0,0,0,0,0
0,0,2,66,0,0,4,0,32,0,1,0,0,0
1,0,5,77,0,16,1,0,27,2,4,0,1,0
0,0,4,50,0,0,10,1,34,0,1,0,0,0
0,0,5,75,0,4,7,0,34,2,2,0,1,0
0,0,2,58,1,3,7,0,32,2,4,0,0,0
0,0,5,80,0,5,3,1,31,0,2,0,1,0
0,0,4,41,0,4,3,0,35,2,2,1,0,0
0,0,3,68,0,18,3,0,29,2,2,0,1,0
0,0,5,83,0,2,14,1,58,0,1,0,1,0
1,0,3,73,0,3,3,1,31,2,2,1,1,0
1,1,1,88,0,16,5,0,27,2,2,1,1,0
1,0,0,61,0,0,12,0,41,0,4,0,0,0
0,0,5,77,0,18,6,0,31,0,1,0,1,0
1,0,2,58,0,25,10,0,36,2,4,0,0,0
1,0,3,67,1,12,6,0,31,0,4,0,1,0
1,0,2,57,1,3,5,0,34,0,4,0,0,0
0,0,4,43,1,17,1,0,29,0,0,0,0,0
0,0,0,56,0,2,1,0,24,2,0,1,0,0
0,0,5,76,0,11,5,0,32,0,2,0,1,0
0,0,3,73,0,17,2,1,34,0,4,0,1,0
1,0,7,56,0,7,3,0,28,0,4,0,0,0
0,0,2,60,0,20,10,0,35,2,2,0,0,0
0,0,3,71,1,15,3,0,27,2,4,0,1,0
1,0,6,45,1,3,2,0,24,2,4,0,0,0
0,0,2,63,0,21,6,0,36,2,2,0,0,0
1,0,1,87,0,15,8,0,31,2,4,1,1,0
0,0,4,46,1,0,2,1,46,2,1,0,0,0
1,0,3,67,1,6,14,1,44,2,4,0,1,0
0,0,2,57,1,1,1,0,24,0,0,0,0,0
0,0,2,57,0,9,7,1,36,0,2,1,0,0
0,0,5,77,0,22,8,1,36,0,2,0,1,0
1,0,4,54,0,26,6,0,31,2,2,1,0,0
0,0,5,78,0,0,2,0,23,0,2,0,1,0
1,0,5,77,1,18,1,3,23,1,0,0,1,0
0,0,1,88,0,13,14,0,42,2,2,0,1,0
0,0,4,45,0,2,4,0,27,0,1,0,0,0
0,0,5,79,1,14,5,1,37,0,3,0,1,0
0,0,4,49,0,8,2,0,32,2,1,1,0,0
1,0,4,48,0,19,2,1,29,0,1,0,0,0
1,0,2,60,1,13,5,0,28,0,2,0,0,0
1,0,4,46,0,27,2,0,26,2,1,0,0,0
0,0,0,61,0,0,15,0,43,2,4,1,0,0
0,0,3,71,0,0,3,0,34,0,1,1,1,0
1,0,1,88,0,0,6,0,31,0,4,1,1,0
0,0,6,43,0,23,9,1,35,2,4,0,0,0
0,0,4,49,0,25,7,0,35,2,3,1,0,0
0,0,8,86,0,3,10,1,39,0,4,1,1,0
0,0,2,59,0,23,3,1,38,0,1,1,0,0
0,0,4,47,0,0,3,1,56,2,3,0,0,0
0,0,2,61,0,0,5,1,46,0,2,1,0,0
1,0,3,70,0,10,7,0,29,0,4,0,1,0
0,0,4,50,0,15,2,0,34,2,1,0,0,0
0,0,2,60,1,0,8,0,51,2,2,0,0,0
0,0,4,50,0,16,7,0,37,2,1,0,0,0
0,0,1,81,0,28,2,0,29,0,2,0,1,0
0,0,4,52,0,0,15,0,44,2,4,0,0,0
0,0,1,86,0,1,1,0,31,2,0,1,1,0
1,0,4,45,0,5,9,0,35,2,4,0,0,0
0,0,5,82,0,18,1,0,27,0,0,0,1,1
1,0,4,47,1,0,7,0,44,2,3,0,0,0
0,0,6,52,0,24,5,0,27,0,2,0,0,0
0,0,4,46,1,3,3,0,26,2,1,0,0,0
0,0,4,53,1,13,4,0,30,2,1,0,0,0
0,0,4,50,0,3,15,0,38,0,1,0,0,0
0,0,2,61,0,0,9,2,36,2,2,0,0,0
1,0,3,73,1,21,6,1,43,0,3,0,1,0
0,0,6,48,1,3,6,1,43,2,2,0,0,0
0,0,4,53,0,28,3,0,27,2,4,1,0,0
0,0,7,61,0,15,2,0,30,2,2,0,0,0
0,0,4,51,1,17,9,0,32,2,2,0,0,0
0,0,2,60,1,13,5,0,30,2,1,0,0,0
1,0,4,49,0,4,9,1,37,2,3,0,0,0
0,0,4,49,0,9,6,1,31,2,3,1,0,0
0,0,2,57,1,2,4,0,29,0,3,0,0,0
0,0,3,65,0,17,2,1,32,2,2,0,0,0
1,0,2,55,0,1,1,3,25,2,0,0,0,0
0,0,5,80,0,0,5,0,32,1,2,1,1,0
0,0,3,70,0,4,9,0,32,0,1,0,1,0
1,0,2,58,1,18,6,0,29,2,4,0,0,0
0,0,4,48,0,29,1,0,23,2,0,0,0,0
1,0,2,59,0,6,7,0,37,2,2,1,0,1
0,0,5,76,0,0,5,1,34,2,2,1,1,0
1,0,4,48,0,5,4,0,33,2,4,1,0,1
